CatalogNumber,otherCatalogNumber,speciesName,Citation,verbatimLatitude,verbatimLongitude,uncertaintyinmeters,eventDate,recordedBy,specimenRemarks,stateprovince,Country,County,Locality,GeoreferenceRemarks,basisofRecord
ACCDC-234619,Coll: UNB. Acc# 40924. Col# 6545. Evid.: specimen.,Viburnum dentatum var. lucidum,"Benedict, B. Connell Herbarium Specimen Database Download 2004. Connell Memorial Herbarium, University of New Brunswick. 2004.",45.6,-67.5,500,1983-08-18,"Hinds, H.R.",Abund.: rare.,New Brunswick,Canada,York,Todd Island,Contact AC CDC for full precision data,HumanObservation
ACCDC-212994,Coll: UNB. Acc# 48121. Col# 9350. Evid.: specimen.,Hypericum majus,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.63,-67.65,100,1989-08-31,"Hinds, H.R.; Flanders, G.",Abund.: uncommon.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-212996,Coll: UNB. Acc# 41136. Col# 6510. Evid.: specimen.,Hypericum majus,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.61,-67.58,1000,1983-08-17,"Hinds, H.R.",Abund.: uncommon.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-212997,Coll: UNB. Acc# 41291. Col# 6485. Evid.: specimen.,Hypericum majus,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.6,-67.51,500,1983-08-18,"Hinds, H.R.",Abund.: uncommon.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213078,Coll: UNB. Acc# 59148. Col# 9329. Evid.: specimen.,Vaccinium corymbosum,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.63,-67.66,100,1989-08-28,"Hinds, H.R.",Abund.: rare.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213079,Coll: UNB. Acc# 40751. Col# 6473. Evid.: specimen.,Vaccinium corymbosum,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.64,-67.67,1000,1983-08-16,"Hinds, H.R.",Abund.: rare.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213285,Coll: UNB. Acc# 41024. Col# 6527. Evid.: specimen.,Littorella americana,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.6,-67.5,1000,1983-08-18,"Hinds, H.R.",Abund.: common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213301,Coll: UNB. Acc# 42376. Col# 6936. Evid.: specimen.,Lysimachia thyrsiflora,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.72,-67.72,1000,1984-09-03,"Hinds, H.R.",Abund.: rare.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213496,Coll: UNB. Acc# 41100. Col# 6459. Evid.: specimen.,Galium brevipes,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.61,-67.58,1000,1983-08-17,"Hinds, H.R.",Abund.: uncommon.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213684,Coll: UNB. Acc# 40925. Col# 6544. Evid.: specimen.,Viola selkirkii,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.6,-67.5,1000,1983-08-18,"Hinds, H.R.",Abund.: uncommon.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213708,Coll: UNB. Acc# 40920. Col# 6507. Evid.: specimen.,Carex arcta,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.63,-67.63,500,1983-08-17,"Hinds, H.R.",Abund.: uncommon.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213709,Coll: UNB. Acc# 46748. Col# 6476. Evid.: specimen.,Carex arcta,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.64,-67.67,1000,1983-08-16,"Hinds, H.R.",Abund.: uncommon.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213711,Coll: UNB. Acc# 41030. Col# 6512. Evid.: specimen.,Carex arcta,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.61,-67.58,1000,1983-08-17,"Hinds, H.R.",Abund.: frequent.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213715,Coll: UNB. Acc# 41036. Col# 6458. Evid.: specimen.,Carex arcta,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.61,-67.58,1000,1983-08-17,"Hinds, H.R.",Abund.: uncommon.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213832,Coll: UNB. Acc# 42377. Col# 6937. Evid.: specimen.,Carex lupulina,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.72,-67.72,1000,1984-09-03,"Hinds, H.R.",Abund.: rare.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213834,Coll: UNB. Acc# 41201. Col# 6457b. Evid.: specimen.,Carex lupulina,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.61,-67.58,1000,1983-08-17,"Hinds, H.R.",Abund.: rare.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213835,Coll: UNB. Acc# 40862. Col# 6488. Evid.: specimen.,Carex lupulina,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.6,-67.5,1000,1983-08-18,"Hinds, H.R.",Abund.: uncommon.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213836,Coll: UNB. Acc# 40929. Col# 6539. Evid.: specimen.,Carex lupulina,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.6,-67.5,1000,1983-08-18,"Hinds, H.R.",Abund.: rare.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-213874,Coll: UNB. Acc# 29351. Col# 931. Evid.: specimen.,Carex ormostachya,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.68,-67.46,100,1978-06-16,"Hinds, H.R.",Abund.: uncommon.,New Brunswick,Canada,York,Palfrey Brook,Contact AC CDC for full precision data,HumanObservation
ACCDC-213932,Coll: UNB. Acc# 40921. Col# 6506. Evid.: specimen.,Carex tuckermanii,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.63,-67.63,500,1983-08-17,"Hinds, H.R.",Abund.: locally common.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-214058,Coll: UNB. Acc# 42563. Col# 6934. Evid.: specimen.,Scirpus pedicellatus,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.73,-67.72,1000,1984-09-03,"Hinds, H.R.",Abund.: frequent.,New Brunswick,Canada,York,Pemberton,Contact AC CDC for full precision data,HumanObservation
ACCDC-214590,Coll: UNB. Acc# 50087. Col# 9330. Evid.: specimen.,,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.62,-67.48,10000,1989-08-28,"Hinds, H.R.",Count: 1 plant. Assc.Sp.: Vaccinium corymbosum; Vaccinium myrtilloides.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-214591,Coll: UNB. Acc# 47529. Col# 9359. Evid.: specimen.,,"Benedict, B. Connell Herbarium Specimens (Data) . University New Brunswick, Fredericton. 2003.",45.62,-67.48,10000,1989-08-31,"Hinds, H.R.; Flanders, G.",Abund.: rare.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-108172,Coll: UNB. Acc# 11160. Col# 65-299. Evid.: specimen.,Acer pensylvanicum,"Benedict, B. Connell Herbarium Specimens. University New Brunswick, Fredericton. 2003.",45.66,-67.6,10000,1965-06-09,"Roberts, P.R.; Pugh, B.",,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-116382,Coll: UNB. Acc# 46692. Col# 6926. Evid.: specimen.,Oclemena acuminata,"Benedict, B. Connell Herbarium Specimens. University New Brunswick, Fredericton. 2003.",45.68,-67.47,5000,1985-07-16,"Dugal, A.W.",,New Brunswick,Canada,York,St Croix,Contact AC CDC for full precision data,HumanObservation
ACCDC-121135,Coll: UNB. Acc# 47037. Col# 9357. Evid.: specimen.,Cornus obliqua,"Benedict, B. Connell Herbarium Specimens. University New Brunswick, Fredericton. 2003.",45.63,-67.65,100,1989-08-31,"Hinds, H.R.; Flanders, G.",Abund.: rare.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-123008,Coll: UNB. Acc# 41127. Col# 6513. Evid.: specimen.,Elatine minima,"Benedict, B. Connell Herbarium Specimens. University New Brunswick, Fredericton. 2003.",45.6,-67.58,1000,1993-08-17,"Hinds, H.R.",Abund.: frequent.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-123010,Coll: UNB. Acc# 41128. Col# 6501. Evid.: specimen.,Elatine minima,"Benedict, B. Connell Herbarium Specimens. University New Brunswick, Fredericton. 2003.",45.67,-67.69,500,1983-08-14,"Hinds, H.R.",Abund.: frequent.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
ACCDC-123012,Coll: UNB. Acc# 44342. Col# 6939. Evid.: specimen.,Elatine minima,"Benedict, B. Connell Herbarium Specimens. University New Brunswick, Fredericton. 2003.",45.72,-67.72,500,1984-09-03,"Hinds, H.R.",Abund.: frequent.,New Brunswick,Canada,York,Spednic Lake,Contact AC CDC for full precision data,HumanObservation
