CatalogNumber,otherCatalogNumber,speciesName,Citation,verbatimLatitude,verbatimLongitude,uncertaintyinmeters,eventDate,recordedBy,specimenRemarks,stateprovince,Country,County,Locality,GeoreferenceRemarks,basisofRecord
ACCDC-653687,Col# JK00894. Evid.: specimen.,Sphaerophoria asymmetrica,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.5,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653697,Col# JK00904. Evid.: specimen.,Sphaerophoria asymmetrica,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.5,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653703,Coll: NBM. Col# JK00910. Evid.: specimen.,,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.56,10,2010-08-19,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653704,Coll: NBM. Col# JK00911. Evid.: specimen.,,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653705,Coll: NBM. Col# JK00912. Evid.: specimen.,,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653706,Coll: NBM. Col# JK00913. Evid.: specimen.,,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653710,Coll: NBM. Col# JK00917. Evid.: specimen.,,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.68,-67.46,10,2010-08-18,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653711,Coll: NBM. Col# JK00918. Evid.: specimen.,,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.68,-67.46,10,2010-08-18,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653712,Coll: NBM. Col# JK00919. Evid.: specimen.,,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.56,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653743,Col# JK00950. Evid.: specimen.,Xylota annulifera,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.68,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653744,Col# JK00951. Evid.: specimen.,Xylota confusa,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.68,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653746,Col# JK00953. Evid.: specimen.,Xylota annulifera,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.68,-67.46,10,2010-08-18,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653748,Col# JK00955. Evid.: specimen.,Xylota tuberculata,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.57,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653750,Col# JK00957. Evid.: specimen.,Xylota quadrimaculata,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.56,10,2010-08-19,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653751,Col# JK00958. Evid.: specimen.,Xylota quadrimaculata,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.56,10,2010-08-19,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653754,Col# JK00961. Evid.: specimen.,Xylota quadrimaculata,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.62,-67.45,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653755,Col# JK00962. Evid.: specimen.,Xylota annulifera,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.5,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653842,Col# JK01049. Evid.: specimen.,Sericomyia chrysotoxoides,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.57,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653859,Col# JK01066. Evid.: specimen.,Sericomyia lata,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.56,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653910,Col# JK01117. Evid.: specimen.,Sphaerophoria philanthus,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.57,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653947,Col# JK01154. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.53,10,2010-07-26,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653950,Col# JK01157. Evid.: specimen.,Syrphus ribesii,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.53,10,2010-07-26,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653954,Coll: NBM. Col# JK01161. Evid.: specimen.,,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.68,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653958,Col# JK01165. Evid.: specimen.,,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.72,10,2010-08-20,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653963,Col# JK01170. Evid.: specimen.,Epistrophe grossulariae,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653964,Col# JK01171. Evid.: specimen.,Epistrophella emarginata,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.57,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653966,Col# JK01173. Evid.: specimen.,Syrphus rectus,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653967,Col# JK01193. Evid.: specimen.,Atylotus thoracicus,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.67,10,2010-07-28,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653973,Col# JK01199. Evid.: specimen.,Stonemyia tranquilla,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.5,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653977,Col# JK01203. Evid.: specimen.,Hybomitra microcephala,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653978,Col# JK01204. Evid.: specimen.,Chrysops univittatus,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.56,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653983,Col# JK01209. Evid.: specimen.,Chrysops univittatus,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.56,10,2010-08-17,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653988,Col# JK01214. Evid.: specimen.,Chrysops vittatus,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.68,-67.46,10,2010-08-18,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653997,Col# JK01223. Evid.: specimen.,Hybomitra minuscula,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-653998,Col# JK01224. Evid.: specimen.,Chrysops univittatus,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.66,10,2010-07-27,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-654003,Col# JK01229. Evid.: specimen.,Hybomitra minuscula,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.67,10,2010-07-28,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-806264,Evid.: Observation.,Dryophytes versicolor,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.59,100,2010-08-17,"Klymko, J.; Robinson, S",Count: 1.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-818975,Col# JK00006. Evid.: Specimen.,Vespula consobrina,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.73,-67.61,10,2010-08-17,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-818979,Col# JK00010. Evid.: Specimen.,Parancistrocerus pensylvanicus,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-818986,Col# JK00021. Evid.: Specimen.,Ancistrocerus antilope,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.56,10,2010-08-19,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-818988,Col# JK00023. Evid.: Specimen.,Ancistrocerus antilope,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.68,-67.46,10,2010-08-18,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-818989,Col# JK00025. Evid.: Specimen.,Ancistrocerus adiabatus,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-818990,Col# JK00026. Evid.: Specimen.,Vespula consobrina,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.59,10,2010-08-17,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-818992,Col# JK00029. Evid.: Specimen.,Dolichovespula arenaria,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.59,10,2010-08-17,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-818993,Col# JK00030. Evid.: Specimen.,Dolichovespula arenaria,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.68,-67.46,10,2010-08-18,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-818994,Col# JK00031. Evid.: Specimen.,Dolichovespula arenaria,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.59,10,2010-08-17,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-1506135,Coll: NBM. Col# JK01233. Evid.: Specimen.,Coccinella trifasciata perplexa,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.7,-67.53,50,2010-07-26,"Klymko, J.; Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-1506137,Coll: NBM. Col# JK01252. Evid.: Specimen.,Harmonia axyridis,"Klymko, J.J.D. 2011. Insect fieldwork & submissions, 2010. Atlantic Canada Conservation Data Centre. Sackville NB, 742 recs.",45.69,-67.5,50,2010-07-27,"Klymko, J.; Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-770890,Col# JK00185. Evid.: specimen.,Lasioglossum laevissimum,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-770921,Col# JK00232. Evid.: specimen.,Lasioglossum laevissimum,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.68,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-770924,Coll: NBM. Col# JK00236. Evid.: specimen.,,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-770929,Col# JK00244. Evid.: specimen.,Lasioglossum laevissimum,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-770938,Col# JK00259. Evid.: specimen.,Lasioglossum viridatum,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-770939,Col# JK00261. Evid.: specimen.,Lasioglossum laevissimum,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-770940,Coll: NBM. Col# JK00262. Evid.: specimen.,,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.7,-67.53,10,2010-07-26,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-770941,Coll: NBM. Col# JK00263. Evid.: specimen.,,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.7,-67.53,10,2010-07-26,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-770945,Col# JK00270. Evid.: specimen.,Lasioglossum laevissimum,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.67,-67.65,10,2010-07-29,"Klymko, J.D.; Robinson, S.L.",Pheno.: adult.,New Brunswick,Canada,York,Spednic Lake PNA,Contact AC CDC for full precision data,HumanObservation
ACCDC-819925,Col# JK04459. Evid.: Specimen.,Panorpa debilis,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.7,-67.54,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819926,Col# JK04460. Evid.: Specimen.,Vespula maculifrons,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.7,-67.54,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819927,Col# JK04461. Evid.: Specimen.,Ancistrocerus antilope,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.7,-67.54,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819928,Col# JK04463. Evid.: Specimen.,Ancistrocerus antilope,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.7,-67.54,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819929,Col# JK04464. Evid.: Specimen.,Vespula consobrina,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.7,-67.54,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819930,Col# JK04465. Evid.: Specimen.,Dolichovespula arenaria,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.7,-67.54,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819931,Col# JK04466. Evid.: Specimen.,Dolichovespula arenaria,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.7,-67.54,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819932,Col# JK04467. Evid.: Specimen.,Vespula consobrina,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.7,-67.54,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819971,Col# JK04515. Evid.: Specimen.,Ancistrocerus adiabatus,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.68,-67.46,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819972,Col# JK04517. Evid.: Specimen.,Ancistrocerus antilope,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.68,-67.46,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819973,Col# JK04518. Evid.: Specimen.,Ancistrocerus antilope,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.68,-67.46,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819974,Col# JK04520. Evid.: Specimen.,Ancistrocerus adiabatus,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.68,-67.46,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819975,Col# JK04521. Evid.: Specimen.,Spilomyia sayi,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.68,-67.46,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819976,Col# JK04522. Evid.: Specimen.,Ancistrocerus adiabatus,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.68,-67.46,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819977,Col# JK04523. Evid.: Specimen.,Ancistrocerus antilope,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.68,-67.46,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
ACCDC-819978,Col# JK04524. Evid.: Specimen.,Vespula consobrina,"Klymko, J.J.D. 2012. Insect field work & submissions. Atlantic Canada Conservation Data Centre, 852 recs.",45.68,-67.46,10,2012-08-29,"Klymko, J., Robinson, S.L.",,New Brunswick,Canada,York,Spednic Lake Protected Natural Area,Contact AC CDC for full precision data,HumanObservation
